team_id,Jersey Number,Player ID,Name,Image,club,date,match_set
feb41b46-3952-11ef-9df6-af5c55c3771d,53,f39d9317-3954-11ef-9f21-4143a9146400,Bruno Eickhoff,https://images.dc.prod.cloud.atriumsports.com/h1s44/a2b8ab9819a0473eb72d85d514a359b6,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,1,f6da24fe-3955-11ef-9660-e79bf7b1fa4b,Adam Morawski,https://images.dc.prod.cloud.atriumsports.com/h1s44/9c7b54092e264e3bbe5a82831e242f99,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,71,fda2bd50-3954-11ef-bb18-0d6c0b831129,Mohamed Amine Darmoul,https://images.dc.prod.cloud.atriumsports.com/h1s44/b5346bcb61124fb0ba30aed1e4a75085,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,33,fdcad02a-3954-11ef-9d41-0d6c0b831129,Aaron  Mensing,https://images.dc.prod.cloud.atriumsports.com/h1s44/e2acf4a64ec14eb990bdd51ea42533b1,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
fe911367-3952-11ef-9131-af5c55c3771d,19,0f2a4a00-3956-11ef-8bdc-63392ed267d4,Giorgi Tskhovrebadze,https://images.dc.prod.cloud.atriumsports.com/h1s44/1236537eca0c4cc6a52e3daebc5365fa,VfL Gummersbach,2024-09-05 19:00:00,TSV Hannover-Burgdorf vs VfL Gummersbach
fe911367-3952-11ef-9131-af5c55c3771d,15,c26cc485-3954-11ef-b1b6-791010fc8985,Miro Schluroff,https://images.dc.prod.cloud.atriumsports.com/h1s44/b77a4c2c34ef4394a79537d780063c63,VfL Gummersbach,2024-09-05 19:00:00,TSV Hannover-Burgdorf vs VfL Gummersbach
fe911367-3952-11ef-9131-af5c55c3771d,14,15f51d01-3955-11ef-85d1-791010fc8985,Teitur Örn Einarsson,https://images.dc.prod.cloud.atriumsports.com/h1s44/6f15e51173ac4d94b2a1fabd0f7098d0,VfL Gummersbach,2024-09-05 19:00:00,TSV Hannover-Burgdorf vs VfL Gummersbach
fe911367-3952-11ef-9131-af5c55c3771d,22,4504e1b7-3953-11ef-b91a-855e48b08f9c,Kentin Mahé,https://images.dc.prod.cloud.atriumsports.com/h1s44/233d10275bfb4a29b62a851dc8ccec37,VfL Gummersbach,2024-09-05 19:00:00,TSV Hannover-Burgdorf vs VfL Gummersbach
fe911367-3952-11ef-9131-af5c55c3771d,1,536547a7-4284-11ef-8ab4-2557a7dbe645,Dominik Kuzmanović,https://images.dc.prod.cloud.atriumsports.com/h1s44/afedbf45ab47418b80987e5e486771b7,VfL Gummersbach,2024-09-05 19:00:00,TSV Hannover-Burgdorf vs VfL Gummersbach
fe911367-3952-11ef-9131-af5c55c3771d,8,5d4b5f03-3953-11ef-9b4f-a9530db97767,Lukas Blohme,https://images.dc.prod.cloud.atriumsports.com/h1s44/3cd75f6b92244cce99d77adc6ce7eb32,VfL Gummersbach,2024-09-05 19:00:00,TSV Hannover-Burgdorf vs VfL Gummersbach
