name,slug,shortName,position,jerseyNumber,userCount,Player_id,country,marketValueCurrency,dateOfBirthTimestamp,twoMinutePenalties,technicalFaults,yellowCards,gk6mSaves,gk6mShots,shotsTaken,goals,assists,goals7m,goals6m,shots6m,fastbreakGoals,fastbreakShots,steals,blockedShots,goals9m,shots9m,breakthroughGoals,breakthroughShots,fieldTranslations,wingGoals,pivotGoals,pivotShots,firstName,lastName,saves,gkShots,gk7mGoals,gk7mShots,gk7mSaves,gkPivotSaves,gkPivotShots,gk9mSaves,gk9mShots,gkBreakthroughSaves,gkBreakthroughShots,gkFastbreakGoals,gkFastbreakShots,gkWingSaves,gkWingShots,gkGoalsConceded,secondsPlayed,gkFastbreakSaves,shots7m,team_name,team_id,home_score,away_score,start_timestamp,matchid_lineup,MatchTeamGame,gkBackcourtShots,gkBackcourtSaves
Lasse Bredekjaer Andersson,andersson-lasse-bredekjaer,L. Andersson,LB,11,1167,952211,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark'}",EUR,763344000.0,0,3,0,0,0,10,7,3,0,4,5,1,3,1,0,1.0,1.0,4.0,4.0,"{'nameTranslation': {'ar': 'بريديكجاير أندرسون, لاسي'}, 'shortNameTranslation': {'ar': 'ل. ب. أندرسون'}}",,,,Lasse B.,Andersson,,,,,,,,,,,,,,,,,,,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Dejan Milosavljev,milosavljev-dejan,D. Milosavljev,G,96,99,953568,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia'}",EUR,826934400.0,0,0,0,4,19,1,1,1,0,0,0,1,1,0,0,,,,,,,,,,,6.0,28.0,4.0,4.0,0.0,,1.0,2.0,5.0,,1.0,1.0,1.0,2.0,8.0,22.0,2141.0,0.0,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Mathias Gidsel,gidsel-mathias,M. Gidsel,RB,19,1289,941995,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark'}",EUR,918432000.0,2,2,0,0,0,13,12,2,0,7,7,2,3,0,0,2.0,2.0,4.0,4.0,,,,,Mathias,Gidsel,,,,,,,,,,,,,,,,,,,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Nils Lichtlein,lichtlein-nils,N. Lichtlein,CB,17,82,1109565,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1028073600.0,0,1,0,0,0,3,3,2,0,3,3,0,0,0,0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Lasse Ludwig,ludwig-lasse,L. Ludwig,G,1,16,1012730,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1033257600.0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7.0,20.0,1.0,2.0,1.0,,1.0,,2.0,,1.0,,,2.0,4.0,13.0,1321.0,,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Tim Freihofer,freihofer-tim,T. Freihöfer,LW,20,22,1067939,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1029888000.0,0,0,0,0,0,12,12,0,6,5,1,1,1,0,0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Matthes Langhoff,langhoff-matthes,M. Langhoff,LB,25,32,1069479,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1017446400.0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Max Beneke,beneke-max-christoph,M. Beneke,RB,27,40,1160850,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1053993600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Hakun West Av Teigum,av-teigum-hakun-west,H. W. a. Teigum,RW,34,90,1107513,"{'alpha2': 'FO', 'alpha3': 'FRO', 'name': 'Faroe Islands'}",EUR,1014076800.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Away,5453,35.0,41.0,2024-09-07 18:00:00,12575504,fuchse-berlin-thsv-eisenach,,
Luca Witzke,witzke-luca,L. Witzke,CB,7,50,858866,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,923097600.0,0,1,0,0,0,8,5,2,0,2,4,1,1,0,0,2.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Matej Klima,klima-matej,M. Klima,LB,13,21,964474,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia'}",EUR,922233600.0,1,0,0,0,0,13,7,3,0,1,1,1,1,1,0,5.0,10.0,1.0,1.0,"{'nameTranslation': {'ar': 'كليما, ماتيج'}, 'shortNameTranslation': {'ar': 'م. كليما'}}",,,1.0,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Viggo Kristjansson,kristjansson-viggo,V. Kristjánsson,RB,73,88,949522,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland'}",EUR,755395200.0,1,0,0,0,0,7,4,1,1,2,2,0,0,0,0,,3.0,2.0,2.0,"{'nameTranslation': {'ar': 'كريستيانسون, فيجو'}, 'shortNameTranslation': {'ar': 'ف. كريستيانسون'}}",,,,Viggo,Kristjansson,,,,,,,,,,,,,,,,,,,1.0,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Moritz Preuss,preuss-moritz,M. Preuss,P,24,7,806572,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,793411200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,1.0,Moritz,Preuss,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Simon Ernst,ernst-simon,S. Ernst,CB,5,43,806771,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,765244800.0,0,0,0,0,0,3,3,2,0,0,0,1,1,0,0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Lucas Krzikalla,krzikalla-lucas,L. Krzikalla,RW,8,7,806673,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,758505600.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Lukas Binder,binder-lukas,L. Binder,LW,11,15,806660,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,709862400.0,0,0,0,0,0,5,4,0,0,2,0,1,1,0,0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Franz Semper,semper-franz,F. Semper,RB,32,60,830797,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,868060800.0,0,0,0,0,0,5,2,1,0,1,1,0,0,0,0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Marko Mamic,mamic-marko,M. Mamić,LB,14,260,902511,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia'}",EUR,762912000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'ماميتش, ماركو'}, 'shortNameTranslation': {'ar': 'م. ماميتش'}}",,,,Marko,Mamić,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Kristian Saeveraas,saeveraas-kristian,K. Sæverås,G,12,43,913487,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway'}",EUR,835401600.0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'سايفيراس, كريستيان'}, 'shortNameTranslation': {'ar': 'ك. سايفيراس'}}",,,,,,10.0,24.0,,,0.0,1.0,7.0,4.0,12.0,1.0,2.0,2.0,4.0,2.0,3.0,14.0,2174.0,2.0,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Luka Rogan,rogan-luka,L. Rogan,P,33,25,964455,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia'}",EUR,1057276800.0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,,,,,,,2.0,3.0,Luka,Rogan,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Andri Mar Runarsson,runarsson-andri-mar,A. M. Runarsson,CB,4,14,1140968,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland'}",EUR,1029888000.0,0,0,0,0,0,5,2,4,0,1,3,0,0,0,0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Nils Greilich,greilich-nils,N. Greilich,LW,9,5,1153974,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1088985600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Staffan Peter,peter-staffan,P. Steffan,RW,18,8,1189836,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1058140800.0,0,0,0,0,0,4,3,1,0,1,0,2,2,1,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Friedrich Schmitt,schmitt-friedrich,F. Schmitt,LB,29,1,1889066,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1096761600.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,7962,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Jorge Serrano Villalobos,serrano-villalobos-jorge,J. S. Villalobos,RW,5,4,1402101,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain'}",EUR,867628800.0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Luka Krivokapic,krivokapic-luka,L. Krivokapic,G,1,4,1092054,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia'}",EUR,1013040000.0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,3.0,13.0,,,0.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,2.0,,2.0,10.0,935.0,0.0,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Gianfranco Pribetic,pribetic-gianfranco,G. Pribetic,P,9,64,944996,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia'}",EUR,956880000.0,2,0,1,0,0,7,5,1,0,0,0,0,1,0,0,,,,,,,5.0,6.0,Gianfranco,Pribetić,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Miljan Vujovic,vujovic-miljan,M. Vujović,G,16,31,949599,"{'alpha2': 'SI', 'alpha3': 'SVN', 'name': 'Slovenia'}",EUR,967334400.0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Miljan,Vujovic,5.0,24.0,1.0,1.0,0.0,1.0,4.0,,7.0,3.0,9.0,3.0,3.0,1.0,4.0,19.0,1961.0,0.0,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Jonas Truchanovicius,truchanovicius-jonas,J. Truchanovičius,LB,10,9,902580,"{'alpha2': 'LT', 'alpha3': 'LTU', 'name': 'Lithuania'}",EUR,740880000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Lenny Rubin,rubin-lenny,L. Rubin,LB,44,50,912598,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland'}",EUR,823132800.0,1,2,0,0,0,8,4,1,0,1,1,0,0,0,0,3.0,7.0,2.0,2.0,"{'nameTranslation': {'ar': 'روبين, ليني'}, 'shortNameTranslation': {'ar': 'ل. روبين'}}",,,,Lenny,Rubin,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Kai Hafner,hafner-kai,K. Häfner,RB,34,117,808802,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,616032000.0,0,1,0,0,0,6,2,3,0,1,3,0,0,0,0,1.0,3.0,1.0,3.0,"{'nameTranslation': {'ar': 'هافنر, كاي'}, 'shortNameTranslation': {'ar': 'ك. هافنر'}}",,,,Kai,Hafner,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Patrick Zieker,zieker-patrick,P. Zieker,LW,25,12,807008,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,755740800.0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,,,,,"{'nameTranslation': {'ar': 'زيكر, باتريك'}, 'shortNameTranslation': {'ar': 'ب. زيكر'}}",,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Samuel Rothlisberger,rothlisberger-samuel,S. Röthlisberger,P,17,20,894512,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland'}",EUR,840067200.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'روثليسبرجر, سامويل'}, 'shortNameTranslation': {'ar': 'س. روثليسبرجر'}}",,2.0,2.0,Samuel,Rothlisberger,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Ante Ivankovic,ivankovic-ante,A. Ivanković,LB,14,104,944990,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia'}",EUR,966297600.0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Daniel Fernandez,fernandez-jimenez-daniel,D. F. Jiménez,LW,6,107,1402100,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain'}",EUR,985737600.0,0,0,0,0,0,6,4,0,1,2,0,1,2,0,0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Achilleas Toskas,toskas-achilleas,A. Toskas,RB,13,18,1141451,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece'}",EUR,1096588800.0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Nico Schottle,schottle-nico,N. Schottle,LB,8,8,1137193,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1059782400.0,0,0,0,0,0,8,1,5,0,0,0,0,0,0,0,1.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Bruno Reguart Massana,reguart-massana-bruno,B. R. Massana,CB,11,5,1388091,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain'}",EUR,1053820800.0,0,0,0,0,0,2,1,2,0,1,1,0,0,1,0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Nico Bacani,bacani-nico,N. Bacani,RW,2,2,1382458,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1066262400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,6272,33.0,24.0,2024-09-08 13:00:00,12575505,sc-dhfk-leipzig-tvb-1898-stuttgart,,
Ole Schramm,schramm-ole,O. Schramm,LB,13,0,894526,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,946339200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Jannek Klein,klein-jannek,J. Klein,RB,17,9,912758,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,922320000.0,0,0,0,0,0,6,3,4,0,1,1,0,0,0,0,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Martin Tomovski,tomovski-martin,M. Tomovski,G,12,17,1137036,"{'alpha2': 'MK', 'alpha3': 'MKD', 'name': 'North Macedonia'}",EUR,868492800.0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Martin,Tomovski,7.0,27.0,1.0,2.0,1.0,1.0,4.0,3.0,12.0,1.0,4.0,2.0,2.0,1.0,3.0,20.0,2481.0,0.0,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Cyrill Akakpo,akakpo-david-cyrill,D. C. Akakpo,RW,19,3,936846,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,875664000.0,0,0,0,0,0,5,4,0,0,2,0,2,2,0,0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Elias Kofler,kofler-elias,E. Kofler,CB,10,38,949520,"{'alpha2': 'AT', 'alpha3': 'AUT', 'name': 'Austria'}",EUR,965779200.0,0,0,0,0,0,6,4,4,0,1,1,0,0,0,0,1.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Emil Hansson,hansson-emil,E. Hansson,LB,2,1,953702,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden'}",EUR,862963200.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Josip Šimić,simic-josip,J. Šimić,P,5,16,1137003,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia'}",EUR,957916800.0,2,1,1,0,0,5,3,0,0,0,0,0,0,0,0,,,,,,,3.0,5.0,Josip,Šimić,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Marvin Kix,kix-marvin,M. Kix,RW,28,3,992365,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1027728000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Maxim Orlov,orlov-maxim,M. Orlov,CB,22,9,1109564,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1014940800.0,0,2,0,0,0,7,6,0,0,3,3,0,0,0,0,3.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Sergey Gorpishin,gorpishin-sergey,S. Gorpishin,P,23,4,1094749,"{'alpha2': 'RU', 'alpha3': 'RUS', 'name': 'Russia'}",EUR,872985600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Nicolas Paulnsteiner,paulnsteiner-nicolas,N. Paulnsteiner,RB,7,14,1095896,"{'alpha2': 'AT', 'alpha3': 'AUT', 'name': 'Austria'}",EUR,1089936000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Nicholas Schley,schley-nicholas,N. Schley,CB,35,1,1187871,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1075939200.0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Max Gunther,gunther-max,M. Günther,RW,14,9,1431917,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1093651200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
