name,slug,shortName,position,jerseyNumber,userCount,Player_id,country,marketValueCurrency,dateOfBirthTimestamp,twoMinutePenalties,technicalFaults,yellowCards,gk6mSaves,gk6mShots,shotsTaken,goals,assists,goals7m,goals6m,shots6m,fastbreakGoals,fastbreakShots,steals,blockedShots,goals9m,shots9m,breakthroughGoals,breakthroughShots,fieldTranslations,wingGoals,pivotGoals,pivotShots,firstName,lastName,saves,gkShots,gk7mGoals,gk7mShots,gk7mSaves,gkPivotSaves,gkPivotShots,gk9mSaves,gk9mShots,gkBreakthroughSaves,gkBreakthroughShots,gkFastbreakGoals,gkFastbreakShots,gkWingSaves,gkWingShots,gkGoalsConceded,secondsPlayed,gkFastbreakSaves,shots7m,team_name,team_id,home_score,away_score,start_timestamp,matchid_lineup,MatchTeamGame,gkBackcourtShots,gkBackcourtSaves
Frederik Holer,holer-frederik,F. Holer,G,1,2,1540005,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1075075200.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2.0,10.0,,,0.0,1.0,2.0,1.0,5.0,,,,,,3.0,8.0,816.0,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,1.0,
Marvin Siemer,siemer-marvin,M. Siemer,LW,6,2,1478889,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1095811200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Nils Fuhrmann,fuhrmann-nils,N. Fuhrmann,LW,27,2,1400083,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1057622400.0,0,0,0,0,0,6,5,0,3,1,0,1,1,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,Home,6267,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Julius Kuhn,kuhn-julius,J. Kühn,LB,5,40,806773,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,733622400.0,0,2,0,0,0,6,3,2,0,1,1,0,0,0,0,2.0,5.0,1.0,1.0,"{'nameTranslation': {'ar': 'كوهن, يوليوس'}, 'shortNameTranslation': {'ar': 'ي. كوهن'}}",,,,Julius,Kuhn,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Fabian Wiederstein,wiederstein-fabian,F. Wiederstein,P,18,5,840394,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,802742400.0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Till Hermann,hermann-till,T. Hermann,LW,41,9,992471,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,851212800.0,0,0,0,0,0,4,3,0,0,1,0,2,2,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Paco Barthe,barthe-paco,P. Barthe,CB,20,1,806619,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,716515200.0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Dominik Claus,claus-dominik,D. Claus,RB,7,3,835521,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,825292800.0,1,2,0,0,0,3,3,3,0,0,0,0,0,0,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Tom Wolf,wolf-tom,T. Wolf,LB,10,8,894926,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,773625600.0,0,0,0,0,0,6,4,1,1,0,0,0,0,0,0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Fredrik Genz,genz-fredrik,F. Genz,G,16,3,806491,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,857779200.0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8.0,33.0,3.0,4.0,1.0,2.0,8.0,4.0,11.0,,5.0,2.0,2.0,,4.0,25.0,3100.0,0.0,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,1.0,
Nikola Vlahovic,vlahovic-nikola,N. Vlahovic,LB,3,6,883306,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,932515200.0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Jonathan Fischer,fischer-jonathan,J. Fischer,P,36,5,894691,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,868665600.0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1.0,1.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Juan de la Pena,de-la-pena-juan,J. D. L. Peña,CB,13,7,896277,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain'}",EUR,828576000.0,1,0,0,0,0,3,3,1,0,2,2,0,0,1,0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Gonzalo Perez Arce,perez-arce-gonzalo,G. P. Arce,RW,19,17,902785,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain'}",EUR,900892800.0,0,0,0,0,0,6,5,0,0,4,0,1,1,0,0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Filip Baranasic,baranasic-filip,F. Baranašić,G,12,12,951610,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia'}",EUR,959299200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Alexander Pfeifer,pfeifer-alexander,A. Pfeifer,LW,31,9,951491,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,982972800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Fynn-Luca Nicolaus,nicolaus-fynn-luca,F. Nicolaus,LB,14,5,995340,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1059523200.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
Jona Bader,bader-jona,J. Bader,RW,24,1,1019898,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1003968000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,5462,26.0,28.0,2024-09-08 14:30:00,12575501,1-vfl-potsdam-sg-bietigheim-metterzimmern,,
